MIC,ZD
0.125,32
0.125,30
0.125,30
0.125,29
0.125,29
0.125,29
0.125,29
0.125,29
0.125,28
0.125,28
0.125,27
0.125,27
0.25,30
0.25,30
0.25,30
0.25,29
0.25,29
0.25,29
0.25,29
0.25,29
0.25,29
0.25,29
0.25,29
0.25,29
0.25,29
0.25,28
0.25,28
0.25,28
0.25,28
0.25,28
0.25,28
0.25,28
0.25,28
0.25,28
0.25,28
0.25,28
0.25,28
0.25,28
0.25,28
0.25,28
0.25,28
0.25,28
0.25,28
0.25,28
0.25,28
0.25,27
0.25,27
0.25,27
0.25,27
0.25,27
0.25,27
0.25,27
0.25,27
0.25,27
0.25,27
0.25,27
0.25,27
0.25,27
0.25,27
0.25,27
0.25,27
0.25,26
0.25,26
0.25,26
0.25,26
0.5,29
0.5,29
0.5,29
0.5,28
0.5,28
0.5,28
0.5,28
0.5,28
0.5,27
0.5,27
0.5,27
0.5,27
0.5,27
0.5,27
0.5,27
0.5,27
0.5,27
0.5,27
0.5,26
0.5,26
0.5,26
0.5,26
0.5,25
0.5,25
1,26
1,25
1,25
2,24
2,24
2,21
4,23
4,21
4,21
4,20
16,20
64,12
64,11

